OBJECTID,COD_REGION,NOM_REGION,BRECHA_2007_PROFESIONAL,BRECHA_2008_PROFESIONAL,BRECHA_2009_PROFESIONAL,BRECHA_2010_PROFESIONAL,BRECHA_2011_PROFESIONAL,BRECHA_2012_PROFESIONAL,BRECHA_2013_PROFESIONAL,BRECHA_2014_PROFESIONAL,BRECHA_2015_PROFESIONAL,BRECHA_2016_PROFESIONAL,BRECHA_2017_PROFESIONAL,BRECHA_2007_TECNICO,BRECHA_2008_TECNICO,BRECHA_2009_TECNICO,BRECHA_2010_TECNICO,BRECHA_2011_TECNICO,BRECHA_2012_TECNICO,BRECHA_2013_TECNICO,BRECHA_2014_TECNICO,BRECHA_2015_TECNICO,BRECHA_2016_TECNICO,BRECHA_2017_TECNICO,Shape_Length,Shape_Area
1,11,REGIÓN DE AYSÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO,-21.73913,-73.333333,-52.941176,-68.421053,-71.428571,-100,-8.333333,-31.818182,-55.555556,-17.857143,-24.5,33.333333,-83.333333,-77.777778,-54.545455,-53.333333,-23.076923,-30.769231,-54.545455,-35.802469,-25,-57.9,267.669950013051,12.4988375810015
2,12,REGIÓN DE MAGALLANES Y DE LA ANTÁRTICA CHILENA,-60,-69.354839,-63.736264,-53.956835,-38.842975,-65.413534,-60,-59.605911,-52.57732,-52.272727,-45.3,-58.095238,-55.882353,-71.232877,-75,-60.56338,-64.028777,-46.987952,-61.85567,-54.285714,-61.904762,-53.5,730.60125907004,17.2713678944682
3,10,REGIÓN DE LOS LAGOS,-65.467626,-61.025641,-57.414449,-61.607143,-65.6,-57.255937,-60.251046,-53.172867,-63.636364,-50.4,-48.5,-64.102564,-79.908676,-67.346939,-55.700326,-60.91954,-50.26738,-63.017032,-58.549223,-51.224944,-47.138047,-53.8,58.0608713616617,5.25861065237359
4,14,REGIÓN DE LOS RÍOS,-47.019868,-50.980392,-55.555556,-57.264957,-61.038961,-50.522648,-48.641975,-59.08046,-49.751244,-58.056266,-51.5,-46.875,-70.909091,-55.555556,-84.158416,-91.666667,-63.636364,-63.414634,-58.62069,-36.40553,-49.462366,-47.6,14.1060181897826,1.92319885913567
5,15,REGIÓN DE ARICA Y PARINACOTA,-69.142857,-65.822785,-64.772727,-62.962963,-64.60177,-58.865248,-49.079755,-53.097345,-44.245524,-38.904899,-42.7,-72.727273,-84,-83.505155,-84.87395,-70.769231,-72.262774,-70.165746,-56.557377,-49.090909,-51.552795,-56.8,6.32609632785336,1.44418925204771
6,1,REGIÓN DE TARAPACÁ,-62.237762,-56.291391,-55.121951,-56.481481,-62.698413,-58.394161,-52.604167,-45.578231,-46.770026,-42.982456,-42.6,-78.947368,-84.126984,-83.561644,-80.357143,-61.73913,-53.521127,-61.538462,-60.189573,-44.805195,-39.546599,-58.2,10.093745003988,3.65833335713401
7,2,REGIÓN DE ANTOFAGASTA,-51.38539,-57.082749,-51.025057,-48.747153,-55.428571,-44.795539,-43.59401,-46.941679,-42.972428,-37.881741,-30.9,-64.044944,-61.077844,-51.308901,-47.045952,-42.765273,-41.833811,-43.223052,-44.152745,-25.315615,-33.983106,-44.5,19.5747198379544,11.1550348647336
8,3,REGIÓN DE ATACAMA,-47.540984,-49.693252,-59.509202,-49.206349,-38.77551,-45.882353,-53.75,-57.755776,-43.252595,-31.830986,-37.7,-67.567568,-69.354839,-71.232877,-77.092511,-73.611111,-65.546218,-61.184211,-53.253012,-44.751381,-44.375,-41.6,18.5305785044445,6.90921762455453
9,4,REGIÓN DE COQUIMBO,-60.267857,-55.555556,-55.871886,-57.190635,-50,-48.501362,-49.306931,-44.033791,-44.478217,-39.431616,-39.9,-75.661376,-77,-69.482289,-74.576271,-67.315175,-49.924127,-46.734694,-45.507813,-40.478153,-41.073826,-52.3,14.4866466788291,3.81830945997703
10,5,REGIÓN DE VALPARAÍSO,-46.746204,-49.827784,-54.156881,-52.685051,-54.389966,-50.220653,-53.34873,-50.664801,-47.919877,-44.058501,-45.3,-61.884817,-65.420561,-65.187713,-65.758092,-62.162162,-55.694981,-55.536554,-54.929577,-46.441718,-43.875686,-50.9,11.7122075759271,1.56195188808712
11,13,REGIÓN METROPOLITANA DE SANTIAGO,-57.856626,-61.255743,-60.424901,-61.443469,-61.749315,-60.580046,-58.851675,-58.723368,-57.412441,-56.871356,-55.2,-73.561579,-76.44464,-75.009161,-71.340839,-66.694375,-68.528159,-65.836576,-59.73608,-55.277745,-55.897658,-61,8.48104709143799,1.49591028087219
12,6,REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,-40.816327,-67.625899,-64.705882,-71.747212,-66.436782,-68.157424,-57.956204,-63.764045,-60.579065,-37.71518,-38.4,-60.714286,-57.68262,-58.962264,-67.45283,-69.357496,-58.936484,-66.150179,-54.085603,-49.237171,-46.710963,-58.1,7.64643507840091,1.60379591552245
13,7,REGIÓN DEL MAULE,-47.44898,-40.17094,-56.682028,-73.264781,-65.981308,-61.513158,-60.108548,-57.142857,-59.871245,-53.752535,-55.5,-54.973822,-68.281938,-71.06383,-80.392157,-69.620253,-58.352403,-63.302752,-55.527319,-45.994065,-42.52462,-47.9,11.1872296788699,3.01480767012314
14,8,REGIÓN DEL BIOBÍO,-59.269933,-60.647928,-55.833986,-61.677788,-59.343737,-59.447323,-57.063541,-55.838641,-56.94076,-50.732729,-49.6,-70.509383,-70.839695,-71.176471,-76.340926,-73.810994,-66.336634,-59.705762,-56.811302,-50.365726,-53.36091,-58.4,17.5807712161379,3.75861312444989
15,9,REGIÓN DE LA ARAUCANÍA,-46.092504,-55.740433,-61.157025,-54.83871,-59.802306,-53.75,-54.854981,-50.921435,-51.195219,-51.858407,-46.9,-53.465347,-65.354331,-69.178082,-66.666667,-46.368715,-51.694915,-44.058501,-50.146628,-47.342398,-52.399608,-49.8,12.1942773323845,3.28960031709639
