Ranking,Comuna,Indice
1,La Pintana,80.72
2,Lo Espejo,79.46
3,Cerro Navia,79.18
4,San Ramón,78.32
5,Conchalí,75.87
6,Isla de Maipo,75.21
7,San Joaquín,74.52
8,Curacaví,74.51
9,Melipilla,74.12
10,El Monte,73.12
11,Padre Hurtado,72.91
12,María Pinto,72.43
13,Buin,72.37
14,San Bernardo,72.17
15,Lo Prado,71.61
16,El Bosque,70.87
17,Paine,70.76
18,San José de Maipo,70.25
19,Recoleta,70.08
20,Lampa,68.73
21,La Granja,68.57
22,Quinta Normal,68.16
23,Independencia,68.16
24,Alhué,68.07
25,Renca,68.00
26,Pedro Aguirre Cerda,67.69
27,Talagante,66.58
28,Peñaflor,66.57
29,Calera de Tango,65.60
30,Cerrillos,65.23
31,Tiltil,64.79
32,Estación Central,64.54
33,Pirque,64.14
34,Colina,64.03
35,Puente Alto,63.47
36,San Pedro,63.44
37,Pudahuel,62.61
38,Peñalolén,62.45
39,La Cisterna,60.31
40,Huechuraba,57.95
41,La Florida,56.83
42,Santiago,56.06
43,Macul,55.81
44,Maipú,55.53
45,Quilicura,54.88
46,San Miguel,49.67
47,Ñuñoa,37.67
48,La Reina,32.67
49,Lo Barnechea,29.63
50,Providencia,27.13
51,Las Condes,11.56
52,Vitacura,6.57
