Categoría,Producto,Energía (kc),Proteínas (g),Grasa Total,Colesterol (mg),H de carbono disponible,Azúcares Totales (g),Sodio (mg)
Pastry,Fudge Brownie,586,7.9,28.2,108,75.3,52.1,293
Pastry,Coffee Cake,341,5.3,15.5,73.7,46,25.4,219
Pastry,Lemon Cake,282,3.6,7.1,48.2,50.9,35.9,212
Pastry,Croissant Frambuesa Queso,414,7.5,16.6,39.9,59.5,16.8,436
Pastry,Muffin de Arándano,421,7.4,15.8,33.9,63.1,27.4,488
Pastry,Muffin con Chips de Chocolate,487,7.9,20.3,31.7,68.7,32.2,504
Pastry,Muffin de Nuez y Zanahoria,454,7.6,20.7,44.7,60.7,30.1,367
Pastry,Muffin de Frambuesa,433,8.2,16.7,35.9,63.4,25.7,484
Pastry,Orange Muffin Light,482,9.5,19.7,1,66.7,10.7,359
Pastry,Cookie de Avena y Pasas,226,3.2,7.5,31.6,36.4,19,163
Pastry,Cookie de Chips de Chocolate,253,2.7,12,34.6,33.4,18.5,95.6
Pastry,Cinnamon Roll,368,6.5,9.8,64.9,63.9,29,36.9
Pastry,Barrita de Nuez & Manjar,765,7.5,42.8,47.3,91.5,52.4,122
Pastry,Pan de Queso,149,3.8,6,50.4,19.2,0.3,314
Pastry,Media Luna,204,3.2,11.8,49.3,21.4,0.2,190.5
Pastry,Double Chocolate Donut,404,3.1,28.7,1.6,33.5,28.5,186
Pastry,Scone Cuatro Quesos,420,14.1,25,113,38.2,0.88,702
Tortas,Cheesecake de Chocolate,380,6,25,86.6,33.3,22.1,184
Tortas,Cheesecake Frutos Rojos,782,7,42.8,96.6,92.8,58,54
Tortas,Torta Cuatro Leche,648,14.1,22.1,218,98.2,53,272
Tortas,Pie Berries al Nougat,338,6,20.6,54,33,0,163
Sandwich,Gran Ave Palta,360,20.7,16.3,39.2,35.1,2.9,426
Sandwich,Gran Jamón Palta,308,19.2,12.1,51.8,32.3,2.3,935
Sandwich,Gran Ave Pimentón,303,25,8.2,59.3,31.3,3.6,657
Sandwich,Panini Jamón & Queso,547,23,22.8,56.6,61.2,1.3,1253
Sandwich,Croissant Pavo Queso,552,25.5,30.6,109,43.1,2.2,1090
Sandwich,Amapola Chicken Cheese,473,32.8,18.5,88.5,44.3,2.9,891
Sandwich,Multigrano Albahaca,488,23.9,18.5,26.5,59.3,7.4,809
Sandwich,Pavo Integral,378,20.1,11.2,34.2,51.3,3.5,1011
Sandwich,Huevo & Bacon,420,23.9,15.1,378,45.8,1,513
Sandwich,Panini Lomito a la Mostaza,533,32.7,23,73.7,46.6,3.7,1302
Sandwich,Ciabatta de Pollo,493,29.7,10.4,54.6,70.5,8.6,1410
Sandwich,Focaccia Capresse,251,9.9,9.7,12.4,31.1,1.1,373
Otros,Ensalada Chicken Pasta,446,32.5,13.6,68.4,47.4,7.4,649
Otros,Teriyaki Salad,566,25.4,27.4,35,57,3.3,470
Otros,Berries & Granola Yog,365,11.4,9.2,18.6,60,37.2,139
Otros,Light Papaya & Piña Yogurt,204,9.6,0.9,4.3,39.5,22.1,219
Otros,Frutas Frescas,127,1.2,0.6,0,32.8,0,2.3
Otros,Queso Crema,56,1.2,5.2,12,1,0,71.4
Otros,Mermelada Frutilla,52,0.1,0.1,0,12.8,12.6,1.5
Otros,Aderezo Limón Oliva,207,0,22.5,0,1.6,0,18.6
Otros,Aderezo Teriyaki,268,0.2,28,0,4.2,3.6,116.8
